project_id,project_url,project_title,dept,region,year,puissance_MW,duree_h,energie_MWh,technologie,demandeur,commune,cas_par_cas_decision,cas_par_cas_date,decision_detail,n_docs,has_decision_doc,analysis_ok,errors,notes,permit_number,permit_deposit_date,permit_issue_date,permit_consultation_start,permit_consultation_end,permit_source,permit_source_type,permit_confidence,permit_summary
bc1d2f1bcaa66b0421bdb5da139449e649f82e00,https://www.hauts-de-france.developpement-durable.gouv.fr/IMG/pdf/2023-7562-cerfa.pdf,Unité de stockage d'énergie par batteries reliée au poste RTE de Patis dans la commune d'Allonne,60,hauts-de-france,2023,,,,LFP,TagEnergy Development France,Allonne,non_soumis_EI,2024-01-25,Le projet n'est pas susceptible d'avoir des incidences notables sur l'environnement et sur la santé humaine qui nécessitent une étude d'impact.,2,yes,yes,,"Projet de stockage d'électricité par batteries LFP raccordé au réseau HTB 1 (63 000 V) via un poste de transformation privé 63kV. Emprise maximale de 2 hectares sur terres agricoles, à proximité du poste RTE de Patis et à plus de 400m des habitations. Situé à 120m d'une ZNIEFF de type I. Durée des travaux estimée à 12 mois. Impacts cumulés (visuels et sonores) avec le poste RTE existant jugés négligeables.",,,,,,,,0.0,Tous téléchargements échoués ou invalidés
ba50565c4bc34d2cf0e305a65453724821560aaa,https://www.hauts-de-france.developpement-durable.gouv.fr/IMG/pdf/2023-7233-cerfa.pdf,Stockage d’électricité par batteries et création d'un poste de transformation associé (90 kV) sur la commune d'Avion (62),62,hauts-de-france,2023,50.0,2.52,126.0,Lithium-ion,Axpo Storage FR2,Avion,non_soumis_EI,2023-12-06,"Le projet n'est pas soumis à étude d'impact. La décision initiale du 24 juillet 2023 soumettant le projet à étude d'impact a été retirée et remplacée. La nouvelle décision est basée sur la prise en compte des enjeux faunistiques et floristiques (évitement de l'Ophrys abeille, conservation des arbres, travaux hors périodes de nidification, barrière étanche pour la faune), l'absence de zone humide, des mesures de gestion des risques sanitaires liés au sol (arrosage, nettoyage engins, plan de gestion des terres, confinement des terres polluées), et une bonne insertion paysagère (haie, couleurs sombres, minoration clôtures).",2,yes,yes,,"Une première décision du 24 juillet 2023 avait soumis le projet à étude d'impact. Suite à un recours administratif préalable obligatoire déposé par la société Axpo Storage FR2 et de nouveaux engagements confirmés le 17 novembre 2023, cette décision a été retirée et remplacée par la présente décision de non-soumission à étude d'impact.",,,,,,,,0.0,Tous téléchargements échoués ou invalidés
a985b187d9ee448d2bff1f928a06e86a11b7b90c,https://www.hauts-de-france.developpement-durable.gouv.fr/IMG/pdf/2023-7420-cerfa.pdf,BESS Beaulieu-les-Fontaines,60,hauts-de-france,2023,45.0,2.0,90.0,Lithium-Ion (Li-ion),ACACIA,Beaulieu-les-Fontaines,non_soumis_EI,2023-10-02,Le projet n’est pas susceptible d’avoir des incidences notables sur l’environnement et sur la santé humaine qui nécessitent une étude d'impact.,2,yes,yes,,"Le projet consiste en la création d'un site de stockage d'électricité par batteries (36 containers Lithium-Ion) et de deux postes de transformation 33kV/225kV sur une surface d'environ 1,6 hectare. Il s'implante sur des parcelles agricoles (ZE 0020 et ZE 0090) à Beaulieu-les-Fontaines et sera raccordé au poste électrique de Latena (Ecuvilly) par liaison souterraine. Le site comprend également un bâtiment de contrôle commande (295 m²) et trois bâches incendie. Le projet est compatible avec le PPRMT et la servitude I4. Il n'est pas situé en zone Natura 2000, mais une ZNIEFF de type 1 est à 2,7 km. La commune est concernée par un PPRI et un PPRMT. Un captage AEP est à 2 km au sud.",,,,,,,,0.0,Toutes URLs filtrées (scores trop bas)
6f33c6be1ec6ca73b82bd2f9d95f920f0f81a2cf,https://www.hauts-de-france.developpement-durable.gouv.fr/IMG/pdf/2023-7366-cerfa.pdf,Projet d’installation de stockage d’électricité par batteries d’Amargue,80,hauts-de-france,2023,150.0,,,lithium-ion,Kallista Energy,Saleux,non_soumis_EI,2023-09-08,"Le projet de création d'un stockage d'électricité par batteries et d'un poste de transformation de 225 kV, sur une parcelle de 3 hectares à Saleux, relève de la rubrique 32 du tableau annexé à l'article R. 122-2 du code de l'environnement. Il s'implante sur des terres agricoles, en bordure d'un centre électrique et de l'autoroute A29, à plus de 500 mètres des habitations. Au vu des informations fournies, le projet n'est pas susceptible d'avoir des incidences notables sur l'environnement et la santé humaine nécessitant une étude d'impact.",2,yes,yes,,"Demandeur: Kallista Energy (SIRET: 51377167500032). Le projet comprend 30 conteneurs de batteries lithium-ion, un poste électrique HTB, des sous-stations HTA. Raccordement électrique RTE 225 kV souterrain (60m). Surface totale de la parcelle: 3 ha. Localisation en zone A (agricole) du PLU de Saleux. Pas de zone humide identifiée sur site, pas de sols pollués, en dehors de zone inondable. ZNIEFF la plus proche à 1,4 km, Natura 2000 à 6,5 km. Captage d'eau potable à 830m sans interception des périmètres de protection.",,,,,,,,0.0,
46423e2191bd004c6138646f4e6ac2a633dcca9e,https://www.hauts-de-france.developpement-durable.gouv.fr/IMG/pdf/2023-7282-cerfa.pdf,Stockage d’électricité par batteries et création d'un poste de transformation associé (90 kV) sur la commune d'Aire-sur-la-Lys (62),62,hauts-de-france,2023,25.0,2.52,63.0,Lithium-ion,Axpo Storage FR5,Aire-sur-la-Lys,soumis_EI,2023-08-03,"Le projet est susceptible d’avoir des incidences notables sur l’environnement et la santé humaine, notamment en raison de son implantation dans une prairie traversée par un corridor écologique, contiguë à des espaces boisés, potentiellement favorables à l'accueil d'espèces protégées (chiroptères, écureuil roux, oiseaux). Des prospections in-situ aux quatre saisons sont nécessaires.",2,yes,yes,,"Le demandeur est identifié comme 'Axpo Storage FR5' dans le CERFA, mais 'Axpo Storage FR 2' dans la décision préfectorale. Le projet inclut également la création d'un poste de transformation 90 kV.",,,,,,,,0.0,Tous téléchargements échoués ou invalidés
361a0d1dfdbe52e7e7c94429483c934ebf6e8502,https://www.hauts-de-france.developpement-durable.gouv.fr/IMG/pdf/2023-7252-cerfa.pdf,Station de stockage d’électricité de « Le champ rouge »,60,hauts-de-france,2023,,,,Batteries,R&S,Valescourt,non_soumis_EI,2023-07-21,"Le projet consiste à l’installation de 15 ensembles de stockage de batteries et de transformateurs haute tension sur un terrain de 2,2 hectares de terres agricoles en face du poste électrique existant. Il n’est pas susceptible d’avoir des incidences notables sur l’environnement et sur la santé humaine.",2,yes,yes,,,,,,,,,,0.0,Tous téléchargements échoués ou invalidés
32e1e122831658e1a04a0bdf96bcb56472413b59,https://www.hauts-de-france.developpement-durable.gouv.fr/IMG/pdf/2023_7235_cerfa_annule_remplace.pdf,Projet de stockage d’énergie par batteries de Marronniers,60,hauts-de-france,2023,,,,Batteries,Harmony Energy France,Enencourt-le-Sec et Boissy-le-Bois,non_soumis_EI,2023-07-21,"La décision tacite de soumission à étude d’impact du 19 juillet 2023 est retirée et remplacée par la présente décision. Le projet de création d’un stockage d’énergie par batteries et d’un poste transformation sur les communes d’Enencourt-le-sec et de Boissy-le-bois, déposé par la société Harmony Energy France, n’est pas soumis à étude d’impact.",2,yes,yes,,Les valeurs de puissance et de durée de stockage n'ont pas été spécifiées dans les documents fournis.,,,,,,,,0.0,Aucun résultat Google Search
b661a8ff2477f7ba443abd4645fff419dd85a082,https://www.hauts-de-france.developpement-durable.gouv.fr/IMG/pdf/2023_7228_cerfa.pdf,Station de stockage d'électricité du Mont Courselle,80,hauts-de-france,2023,100.0,2.0,200.0,Batterie,R&S,Argoeuves,non_soumis_EI,2023-07-10,"Le projet de création d’une station de stockage d’électricité sur la commune d’Argoeuves, dans le département de la Somme déposé par la société R&S, n’est pas soumis à étude d’impact en application de la section première du chapitre II du titre II du livre premier du code de l’environnement.",2,yes,yes,,"Le projet inclut la création d'un poste de transformation de tension 225kV pour la connexion au réseau de transport d'électricité. Il relève de la nomenclature ICPE 2925-2 (Ateliers de charge d'accumulateurs électriques). L'emprise foncière d'implantation, d'environ 3 hectares, ne sera plus utilisée pour un usage agricole (actuellement culture céréalière).",,,,,,,,0.0,
eea6e50bbc47a5bfc8a28aa009aaeb7f3f8be3b0,https://www.hauts-de-france.developpement-durable.gouv.fr/IMG/pdf/2023-7082-decision.pdf,Projet de station de stockage d'électricité de Gauville,?,hauts-de-france,2023,,,,,R&S,Gauville,soumis_EI,2023-05-16,"Le projet consiste en l'installation de 60 ensembles de stockage de batteries et de transformateurs haute tension sur un terrain de 4,4 hectares. Il est soumis à étude d'impact en raison de la consommation d'espaces naturels et agricoles (4,4 ha), de sa proximité avec des ZNIEFF (150m) et un site Natura 2000 (1,6km), de l'impact sur 1,3 ha de prairie permanente et l'arrachage de haies, des fréquences sonores potentielles affectant la faune (chiroptères), de la nécessité de définir la végétalisation et la gestion du site pour la biodiversité, et de l'interception d'un axe de ruissellement nécessitant des aménagements hydrauliquement neutres. Le projet est jugé susceptible d'avoir des incidences notables sur l'environnement et la santé humaine.",1,yes,yes,,La décision tacite de soumission à étude d’impact du 2 mai 2023 est retirée et remplacée par la présente décision.,,,,,,,,0.0,
b2800d1a11aab43c9bc2b96b5ed723e4d4dd46a8,https://www.hauts-de-france.developpement-durable.gouv.fr/IMG/pdf/2023-7081-cerfa.pdf,"Station de stockage d'électricité de ""Le Paté"" sur la commune de Longuenesse",?,hauts-de-france,2023,75.0,2.0,150.0,Batterie,R&S,Longuenesse,non_soumis_EI,2023-05-16,"Le projet n’est pas susceptible d’avoir des incidences notables sur l’environnement et sur la santé humaine, qu’il est nécessaire d’étudier.",2,yes,yes,,"Installation de 33 ensembles de stockage de batteries et de transformateurs haute tension sur un terrain de 3 hectares. Le projet relève de la rubrique ICPE 2925-2 (Ateliers de charge d'accumulateurs électriques) et implique la création d'un poste de transformation de tension 225kV. La décision tacite de soumission à étude d’impact du 2 mai 2023 a été retirée et remplacée par la présente décision. Le projet est situé sur des parcelles agricoles (Zone A du PLUi) et intègre des mesures d'atténuation : distances de sécurité importantes entre les unités de stockage (10m) et la clôture (15m), mur coupe-feu entre les transformateurs, pistes lourdes pour les engins de lutte contre les incendies. Les nuisances sonores du transformateur sont jugées inférieures aux seuils réglementaires à la limite de propriété. Le maintien des haies existantes et la plantation de nouvelles haies sur talus sont prévus pour l'intégration paysagère et la création d'un corridor vert.",,,,,,,,0.0,
